Following Athlete ID,Follow Status,Created At
41312270,Accepted,"Dec 12, 2020, 10:28:19 AM"
43047829,Accepted,"Dec 28, 2020, 3:04:31 PM"
71540465,Accepted,"Dec 29, 2020, 8:38:31 AM"
7644215,Accepted,"Dec 31, 2020, 3:53:40 PM"
8449273,Accepted,"Jan 3, 2021, 9:34:03 PM"
66066544,Pending,"Jan 3, 2021, 9:41:44 PM"
25427406,Accepted,"Jan 5, 2021, 6:32:25 AM"
74285496,Accepted,"Jan 24, 2021, 4:35:20 PM"
43166675,Accepted,"Jan 28, 2021, 9:37:28 PM"
19155968,Accepted,"Jan 28, 2021, 9:37:59 PM"
9050101,Accepted,"Jan 28, 2021, 9:38:06 PM"
24691819,Pending,"Feb 2, 2021, 6:13:37 PM"
31833863,Accepted,"Feb 3, 2021, 7:19:03 AM"
64297015,Accepted,"Feb 10, 2021, 9:58:02 PM"
55935319,Accepted,"Mar 30, 2021, 7:56:44 AM"
17473878,Accepted,"Mar 30, 2021, 11:14:29 AM"
15645803,Accepted,"May 4, 2021, 1:17:23 PM"
56372307,Pending,"May 22, 2021, 4:55:42 PM"
31505161,Accepted,"Jun 14, 2021, 7:58:23 AM"
52389755,Accepted,"Jun 25, 2021, 7:29:04 AM"
40305037,Accepted,"Jun 25, 2021, 7:30:56 AM"
32117101,Accepted,"Jun 25, 2021, 7:32:00 AM"
11733950,Accepted,"Jul 24, 2021, 8:04:25 PM"
35359816,Accepted,"Jul 27, 2021, 7:03:43 PM"
65050847,Accepted,"Aug 19, 2021, 12:41:34 PM"
